invoice_no,invoice_date,vendor_id,vendor_name,vendor_gstin,place_of_supply,supply_type,reverse_charge,expense_code,expense_account,description,taxable_value,gst_rate,cgst,sgst,igst,invoice_total,tds_section,tds_rate,tds_amount,net_payable,msme
INV-202604-023,2026-04-16,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-04,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202604-013,2026-04-19,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-04,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202604-042,2026-04-19,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-04,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202604-001,2026-04-20,VEND110,Pinnacle Media & Communications Pvt Ltd,33YBOCX1612Y9ZH,Tamil Nadu,Inter-state,No,6205,Advertising & Marketing,Advertising - 2026-04,508300,18,0,0,91494,599794,194C,2.0,10166,589628,No
INV-202604-008,2026-04-20,VEND102,Vertex Tech Solutions Pvt Ltd,07OZVCM7779E4ZR,Delhi,Inter-state,No,5100,Subcontracting Charges,Subcontracting - 2026-04,317300,18,0,0,57114,374414,194C,2.0,6346,368068,No
INV-202604-039,2026-04-22,VEND101,Stellar Software Labs Pvt Ltd,06VLTCI2229A3ZI,Haryana,Inter-state,No,5102,Software Subscriptions (SaaS Tools),SaaS tools - 2026-04,273100,18,0,0,49158,322258,194J,10.0,27310,294948,No
INV-202604-006,2026-04-23,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-04,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202604-005,2026-04-28,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-04,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202604-018,2026-04-28,VEND106,Meridian Facility Management Pvt Ltd,29FPDCR0579A9ZA,Karnataka,Intra-state,No,6005,Housekeeping & Security,Housekeeping/security - 2026-04,179300,18,16137,16137,0,211574,194C,2.0,3586,207988,No
INV-202605-053,2026-05-01,VEND104,"Sterling & Associates, Chartered Accountants",29MPYCZ0569Y5Z3,Karnataka,Intra-state,No,6101,Statutory Audit Fees,Statutory audit - 2026-05,202600,18,18234,18234,0,239068,194J,10.0,20260,218808,No
INV-202605-036,2026-05-03,VEND101,Stellar Software Labs Pvt Ltd,06VLTCI2229A3ZI,Haryana,Inter-state,No,5102,Software Subscriptions (SaaS Tools),SaaS tools - 2026-05,106400,18,0,0,19152,125552,194J,10.0,10640,114912,No
INV-202605-046,2026-05-06,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-05,76500,18,0,0,13770,90270,,0.0,0,90270,No
INV-202605-022,2026-05-08,VEND111,Apex Travels Pvt Ltd,32EFACJ8198P8ZB,Kerala,Inter-state,No,6200,Travelling - Domestic,Travel & hotel - 2026-05,170600,12,0,0,20472,191072,,0.0,0,191072,No
INV-202605-016,2026-05-10,VEND100,Zenith Cloud Services Pvt Ltd,33JVWCR5584G7Z5,Tamil Nadu,Inter-state,No,5101,Cloud Hosting (AWS/Azure/GCP),Cloud hosting - 2026-05,436300,18,0,0,78534,514834,194J,10.0,43630,471204,No
INV-202605-060,2026-05-10,VEND104,"Sterling & Associates, Chartered Accountants",29MPYCZ0569Y5Z3,Karnataka,Intra-state,No,6101,Statutory Audit Fees,Statutory audit - 2026-05,352600,18,31734,31734,0,416068,194J,10.0,35260,380808,No
INV-202605-011,2026-05-14,VEND109,Catalyst Engineering Services,32RCZCK6770S1ZP,Kerala,Inter-state,No,6004,Repairs & Maintenance - Equipment,Repairs - equipment - 2026-05,116100,18,0,0,20898,136998,194C,2.0,2322,134676,No
INV-202605-029,2026-05-14,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-05,48000,18,0,0,8640,56640,,0.0,0,56640,No
INV-202605-030,2026-05-14,VEND101,Stellar Software Labs Pvt Ltd,06VLTCI2229A3ZI,Haryana,Inter-state,No,5102,Software Subscriptions (SaaS Tools),SaaS tools - 2026-05,198000,18,0,0,35640,233640,194J,10.0,19800,213840,No
INV-202605-055,2026-05-14,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-05,35300,18,0,0,6354,41654,,0.0,0,41654,No
INV-202605-002,2026-05-15,VEND111,Apex Travels Pvt Ltd,32EFACJ8198P8ZB,Kerala,Inter-state,No,6200,Travelling - Domestic,Travel & hotel - 2026-05,160800,12,0,0,19296,180096,,0.0,0,180096,No
INV-202605-048,2026-05-15,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-05,49500,18,0,0,8910,58410,,0.0,0,58410,No
INV-202605-009,2026-05-19,VEND100,Zenith Cloud Services Pvt Ltd,33JVWCR5584G7Z5,Tamil Nadu,Inter-state,No,5101,Cloud Hosting (AWS/Azure/GCP),Cloud hosting - 2026-05,675300,18,0,0,121554,796854,194J,10.0,67530,729324,No
INV-202605-007,2026-05-20,VEND108,Lumina Stationers & Supplies,29ALQCK7119Z8Z5,Karnataka,Intra-state,No,6006,Office Supplies & Stationery,Office supplies - 2026-05,37100,18,3339,3339,0,43778,,0.0,0,43778,No
INV-202605-044,2026-05-22,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-05,18000,18,0,0,3240,21240,,0.0,0,21240,No
INV-202605-033,2026-05-24,VEND100,Zenith Cloud Services Pvt Ltd,33JVWCR5584G7Z5,Tamil Nadu,Inter-state,No,5101,Cloud Hosting (AWS/Azure/GCP),Cloud hosting - 2026-05,479900,18,0,0,86382,566282,194J,10.0,47990,518292,No
INV-202606-057,2026-06-01,VEND103,Pioneer Consulting LLP,33JDVCC3793Y1ZS,Tamil Nadu,Inter-state,No,6100,Legal & Professional Fees,Legal & professional - 2026-06,217100,18,0,0,39078,256178,194J,10.0,21710,234468,Yes
INV-202606-027,2026-06-02,VEND106,Meridian Facility Management Pvt Ltd,29FPDCR0579A9ZA,Karnataka,Intra-state,No,6005,Housekeeping & Security,Housekeeping/security - 2026-06,173300,18,15597,15597,0,204494,194C,2.0,3466,201028,No
INV-202606-041,2026-06-03,VEND109,Catalyst Engineering Services,32RCZCK6770S1ZP,Kerala,Inter-state,No,6004,Repairs & Maintenance - Equipment,Repairs - equipment - 2026-06,90700,18,0,0,16326,107026,194C,2.0,1814,105212,No
INV-202606-015,2026-06-05,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-06,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202606-054,2026-06-06,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-06,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202606-037,2026-06-07,VEND108,Lumina Stationers & Supplies,29ALQCK7119Z8Z5,Karnataka,Intra-state,No,6006,Office Supplies & Stationery,Office supplies - 2026-06,31700,18,2853,2853,0,37406,,0.0,0,37406,No
INV-202606-045,2026-06-07,VEND103,Pioneer Consulting LLP,33JDVCC3793Y1ZS,Tamil Nadu,Inter-state,Yes,6100,Legal & Professional Fees,Legal & professional - 2026-06,67100,18,0,0,0,67100,194J,10.0,6710,60390,Yes
INV-202606-038,2026-06-08,VEND103,Pioneer Consulting LLP,33JDVCC3793Y1ZS,Tamil Nadu,Inter-state,Yes,6100,Legal & Professional Fees,Legal & professional - 2026-06,197400,18,0,0,0,197400,194J,10.0,19740,177660,Yes
INV-202606-052,2026-06-10,VEND104,"Sterling & Associates, Chartered Accountants",29MPYCZ0569Y5Z3,Karnataka,Intra-state,No,6101,Statutory Audit Fees,Statutory audit - 2026-06,366800,18,33012,33012,0,432824,194J,10.0,36680,396144,No
INV-202606-010,2026-06-12,VEND109,Catalyst Engineering Services,32RCZCK6770S1ZP,Kerala,Inter-state,No,6004,Repairs & Maintenance - Equipment,Repairs - equipment - 2026-06,67400,18,0,0,12132,79532,194C,2.0,1348,78184,No
INV-202606-050,2026-06-12,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-06,74300,18,0,0,13374,87674,,0.0,0,87674,No
INV-202606-043,2026-06-14,VEND107,Quantum Telecom Pvt Ltd,09WPNCL4661P6Z0,Uttar Pradesh,Inter-state,No,6009,Telephone & Internet,Telephone & internet - 2026-06,62200,18,0,0,11196,73396,,0.0,0,73396,No
INV-202606-003,2026-06-16,VEND108,Lumina Stationers & Supplies,29ALQCK7119Z8Z5,Karnataka,Intra-state,No,6006,Office Supplies & Stationery,Office supplies - 2026-06,57100,18,5139,5139,0,67378,,0.0,0,67378,No
INV-202606-028,2026-06-17,VEND100,Zenith Cloud Services Pvt Ltd,33JVWCR5584G7Z5,Tamil Nadu,Inter-state,No,5101,Cloud Hosting (AWS/Azure/GCP),Cloud hosting - 2026-06,748600,18,0,0,134748,883348,194J,10.0,74860,808488,No
INV-202606-051,2026-06-18,VEND101,Stellar Software Labs Pvt Ltd,06VLTCI2229A3ZI,Haryana,Inter-state,No,5102,Software Subscriptions (SaaS Tools),SaaS tools - 2026-06,307800,18,0,0,55404,363204,194J,10.0,30780,332424,No
INV-202606-031,2026-06-19,VEND109,Catalyst Engineering Services,32RCZCK6770S1ZP,Kerala,Inter-state,No,6004,Repairs & Maintenance - Equipment,Repairs - equipment - 2026-06,51900,18,0,0,9342,61242,194C,2.0,1038,60204,No
INV-202606-034,2026-06-19,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-06,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202606-026,2026-06-20,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-06,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
INV-202606-017,2026-06-21,VEND106,Meridian Facility Management Pvt Ltd,29FPDCR0579A9ZA,Karnataka,Intra-state,No,6005,Housekeeping & Security,Housekeeping/security - 2026-06,111300,18,10017,10017,0,131334,194C,2.0,2226,129108,No
INV-202606-020,2026-06-21,VEND100,Zenith Cloud Services Pvt Ltd,33JVWCR5584G7Z5,Tamil Nadu,Inter-state,No,5101,Cloud Hosting (AWS/Azure/GCP),Cloud hosting - 2026-06,794600,18,0,0,143028,937628,194J,10.0,79460,858168,No
INV-202606-056,2026-06-23,VEND101,Stellar Software Labs Pvt Ltd,06VLTCI2229A3ZI,Haryana,Inter-state,No,5102,Software Subscriptions (SaaS Tools),SaaS tools - 2026-06,310200,18,0,0,55836,366036,194J,10.0,31020,335016,No
INV-202606-004,2026-06-24,VEND103,Pioneer Consulting LLP,33JDVCC3793Y1ZS,Tamil Nadu,Inter-state,Yes,6100,Legal & Professional Fees,Legal & professional - 2026-06,169200,18,0,0,0,169200,194J,10.0,16920,152280,Yes
INV-202606-014,2026-06-26,VEND111,Apex Travels Pvt Ltd,32EFACJ8198P8ZB,Kerala,Inter-state,No,6200,Travelling - Domestic,Travel & hotel - 2026-06,73000,12,0,0,8760,81760,,0.0,0,81760,No
INV-202606-024,2026-06-28,VEND105,Orbit Estates & Holdings Pvt Ltd,29OLKCY5948I8Z8,Karnataka,Intra-state,No,6000,Rent - Office Premises,Office rent - 2026-06,350000,18,31500,31500,0,413000,194I,10.0,35000,378000,Yes
